"","minlatedeparted","scheddeplocal"
"468",-8,"04/08/2018 12:40"
"469",-17,"04/08/2018 10:15"
"470",-5,"23/10/2018 6:20"
"471",-8,"23/10/2018 5:50"
"472",-11,"23/10/2018 11:05"
"473",5,"23/10/2018 13:00"
"474",-13,"23/10/2018 9:35"
"475",-10,"23/10/2018 5:40"
"476",4,"23/10/2018 9:00"
"477",34,"23/10/2018 13:15"
"478",-4,"23/10/2018 15:15"
"479",-11,"23/10/2018 12:40"
"480",-12,"23/10/2018 10:15"
"481",2,"17/03/2019 6:30"
"482",2,"17/03/2019 9:15"
"483",0,"17/03/2019 6:00"
"484",48,"17/03/2019 10:50"
"485",1,"17/03/2019 13:00"
"486",-11,"17/03/2019 9:35"
"487",7,"17/03/2019 13:15"
"488",7,"17/03/2019 5:40"
"489",-9,"17/03/2019 8:20"
"490",-3,"17/03/2019 14:45"
"491",1,"17/03/2019 5:35"
"492",-1,"17/03/2019 4:55"
"493",10,"17/03/2019 14:55"
"494",-6,"17/03/2019 21:35"
"495",-1,"17/03/2019 12:30"
"496",-18,"17/03/2019 11:00"
"497",-8,"17/03/2019 4:55"
"498",3,"15/01/2019 6:30"
"499",7,"15/01/2019 9:15"
"500",15,"15/01/2019 6:00"
"501",37,"15/01/2019 10:50"
"502",-10,"15/01/2019 13:00"
"503",10,"15/01/2019 9:35"
"504",23,"15/01/2019 5:40"
"505",-2,"15/01/2019 13:15"
"506",-1,"15/01/2019 8:20"
"507",-1,"15/01/2019 5:35"
"508",0,"15/01/2019 4:55"
"509",39,"15/01/2019 14:55"
"510",-8,"15/01/2019 21:35"
"511",5,"15/01/2019 12:30"
"512",-4,"15/01/2019 11:00"
"513",-12,"15/01/2019 4:55"
"514",-6,"21/10/2018 6:20"
"515",-3,"21/10/2018 5:50"
"516",9,"21/10/2018 11:05"
"517",17,"21/10/2018 13:00"
"518",23,"21/10/2018 9:35"
"519",64,"21/10/2018 13:15"
"520",-3,"21/10/2018 9:00"
"521",7,"21/10/2018 15:15"
"522",2,"21/10/2018 18:10"
"523",-9,"21/10/2018 12:40"
"524",-13,"21/10/2018 10:15"
"525",50,"21/09/2018 6:20"
"526",4,"21/09/2018 5:50"
"527",9,"21/09/2018 11:05"
"528",73,"21/09/2018 9:35"
"529",-11,"21/09/2018 13:15"
"530",97,"21/09/2018 5:40"
"531",-2,"21/09/2018 9:00"
"532",-3,"21/09/2018 15:15"
"533",9,"21/09/2018 18:10"
"534",3,"21/09/2018 12:40"
"535",-10,"21/09/2018 10:15"
"536",11,"01/05/2018 5:50"
"537",4,"01/05/2018 11:05"
"538",18,"01/05/2018 13:00"
"539",-7,"01/05/2018 9:35"
"540",12,"01/05/2018 5:40"
"541",3,"01/05/2018 9:00"
"542",1,"01/05/2018 13:15"
"543",26,"01/05/2018 15:15"
"544",6,"01/05/2018 15:35"
"545",-10,"01/05/2018 18:10"
"546",-1,"01/05/2018 12:40"
"547",-11,"01/05/2018 10:15"
"548",31,"16/04/2019 6:25"
"549",26,"16/04/2019 5:55"
"550",19,"16/04/2019 11:05"
"551",25,"16/04/2019 13:05"
"552",52,"16/04/2019 9:35"
"553",0,"16/04/2019 5:35"
"554",15,"16/04/2019 13:15"
"555",-4,"16/04/2019 9:00"
"556",-4,"16/04/2019 5:50"
"557",18,"16/04/2019 4:30"
"558",-7,"16/04/2019 15:00"
"559",2,"16/04/2019 17:50"
"560",-9,"16/04/2019 5:10"
"561",-8,"16/04/2019 16:40"
"562",4,"16/04/2019 17:10"
"563",7,"16/04/2019 5:15"
"564",8,"16/04/2019 17:20"
"565",-19,"16/04/2019 21:45"
"566",-15,"16/04/2019 22:30"
"567",-19,"16/04/2019 19:55"
"568",0,"16/04/2019 12:30"
"569",-7,"16/04/2019 9:35"
"570",67,"16/12/2018 9:15"
"571",19,"16/12/2018 6:00"
"572",31,"16/12/2018 10:50"
"573",-2,"16/12/2018 13:00"
"574",16,"16/12/2018 9:35"
"575",23,"16/12/2018 5:40"
"576",24,"16/12/2018 6:30"
"577",-3,"16/12/2018 8:20"
"578",14,"16/12/2018 14:45"
"579",43,"16/12/2018 5:35"
"580",3,"16/12/2018 4:55"
"581",9,"16/12/2018 14:55"
"582",-6,"16/12/2018 21:35"
"583",-10,"16/12/2018 12:30"
"584",1,"16/12/2018 11:00"
"585",74,"16/12/2018 4:55"
"586",-2,"08/06/2018 6:20"
"587",40,"08/06/2018 5:50"
"588",107,"08/06/2018 11:05"
"589",-11,"08/06/2018 9:35"
"590",16,"08/06/2018 5:40"
"591",-7,"08/06/2018 9:00"
"592",-7,"08/06/2018 15:15"
"593",-5,"08/06/2018 18:10"
"594",-3,"08/06/2018 12:40"
"595",20,"08/06/2018 10:15"
"596",116,"28/08/2018 6:20"
"597",6,"28/08/2018 5:50"
"598",40,"28/08/2018 13:00"
"599",37,"28/08/2018 9:35"
"600",12,"28/08/2018 5:40"
"601",25,"28/08/2018 9:00"
"602",37,"28/08/2018 13:15"
"603",50,"28/08/2018 12:40"
"604",22,"28/08/2018 10:15"
"605",31,"01/03/2019 6:30"
"606",21,"01/03/2019 6:00"
"607",39,"01/03/2019 10:50"
"608",2,"01/03/2019 13:00"
"609",67,"01/03/2019 9:35"
"610",3,"01/03/2019 13:15"
"611",26,"01/03/2019 5:40"
"612",27,"01/03/2019 8:20"
"613",-9,"01/03/2019 14:45"
"614",9,"01/03/2019 5:35"
"615",4,"01/03/2019 4:55"
"616",19,"01/03/2019 14:55"
"617",-11,"01/03/2019 12:30"
