"","minlatedeparted","scheddeplocal"
"659",-17,"03/11/2018 11:20"
"660",87,"03/11/2018 17:40"
"661",-6,"03/11/2018 9:50"
"662",-11,"03/11/2018 5:50"
"663",0,"03/11/2018 13:45"
"664",-10,"03/11/2018 7:30"
"665",-12,"03/11/2018 6:10"
"666",-28,"03/11/2018 15:55"
"667",-13,"03/11/2018 20:40"
"668",-20,"03/11/2018 21:45"
"669",-19,"03/11/2018 8:00"
"670",-13,"03/11/2018 16:50"
"671",-7,"03/11/2018 9:55"
"672",-23,"03/11/2018 20:00"
"673",0,"03/11/2018 6:00"
"674",-11,"03/11/2018 17:25"
"675",20,"03/11/2018 18:05"
"676",-11,"03/11/2018 22:45"
"677",14,"03/11/2018 19:30"
"678",17,"03/11/2018 21:40"
"679",-11,"03/11/2018 10:40"
"680",-17,"03/11/2018 15:50"
"681",-19,"03/11/2018 9:10"
"682",-19,"03/11/2018 12:55"
"683",15,"03/11/2018 7:10"
"684",-5,"03/11/2018 17:15"
"685",-4,"03/11/2018 16:50"
"686",0,"03/11/2018 6:40"
"687",8,"23/04/2019 7:45"
"688",0,"23/04/2019 14:50"
"689",13,"23/04/2019 16:15"
"690",-4,"23/04/2019 8:55"
"691",35,"23/04/2019 10:40"
"692",37,"23/04/2019 14:10"
"693",27,"23/04/2019 12:35"
"694",21,"23/04/2019 18:50"
"695",2,"23/04/2019 18:10"
"696",7,"23/04/2019 4:05"
"697",15,"23/04/2019 14:00"
"698",75,"23/04/2019 17:00"
"699",-96,"23/04/2019 0:15"
"700",33,"23/04/2019 6:35"
"701",0,"23/04/2019 4:20"
"702",62,"23/04/2019 16:00"
"703",23,"23/04/2019 17:30"
"704",8,"23/04/2019 7:20"
"705",0,"23/04/2019 13:40"
"706",33,"23/04/2019 11:10"
"707",105,"23/04/2019 11:50"
"708",55,"23/04/2019 17:45"
"709",-3,"23/04/2019 9:50"
"710",-13,"23/04/2019 5:35"
"711",91,"23/04/2019 13:50"
"712",-5,"23/04/2019 6:55"
"713",15,"23/04/2019 7:00"
"714",79,"23/04/2019 15:30"
"715",0,"23/04/2019 3:00"
"716",-5,"23/04/2019 8:00"
"717",71,"23/04/2019 16:35"
"718",-6,"23/04/2019 9:40"
"719",39,"23/04/2019 19:50"
"720",150,"23/04/2019 17:25"
"721",0,"23/04/2019 3:25"
"722",-6,"23/04/2019 5:45"
"723",34,"23/04/2019 18:00"
"724",44,"23/04/2019 20:00"
"725",10,"23/04/2019 10:55"
"726",65,"23/04/2019 15:05"
"727",-15,"23/04/2019 8:35"
"728",-1,"23/04/2019 12:25"
"729",67,"23/04/2019 0:05"
"730",9,"23/04/2019 7:10"
"731",-8,"23/04/2019 17:35"
"732",27,"23/04/2019 8:35"
"733",6,"23/04/2019 6:30"
"734",-6,"23/04/2019 8:30"
"735",45,"01/03/2019 12:40"
"736",13,"01/03/2019 0:40"
"737",7,"03/11/2018 12:40"
"738",21,"03/11/2018 0:40"
"739",128,"18/08/2018 7:40"
"740",340,"18/08/2018 14:50"
"741",347,"18/08/2018 23:15"
"742",173,"18/08/2018 23:35"
"743",208,"18/08/2018 12:25"
"744",240,"18/08/2018 8:00"
"745",315,"18/08/2018 18:25"
"746",-10,"18/08/2018 4:05"
"747",421,"18/08/2018 14:15"
"748",37,"18/08/2018 6:40"
"749",-7,"18/08/2018 4:20"
"750",271,"18/08/2018 11:50"
"751",141,"18/08/2018 16:15"
"752",402,"18/08/2018 17:30"
"753",44,"18/08/2018 7:20"
"754",154,"18/08/2018 11:10"
"755",269,"18/08/2018 9:50"
"756",83,"18/08/2018 5:55"
"757",362,"18/08/2018 10:55"
